QueryText,KccAns
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,"FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP,PLS SPRAY FAME 480(FLUBENDAMIDE480%SC)-30ML OR CORAGEN(CHLORANTRANILIPROLE 18.5% SC)-60ML IN 200LITRE WATER/ACRE."
INFORMATION REGARDING OF WEATHER'?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL.
INFORMATION REGARDING WEATHER  CONDITION?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
information regarding how to control rotting of barries in grape?,spray of 3 g  ziram in 1 liter of water
information regarding how to control red pumpkin bettle in squash melon?,spray 200 ml rogor 30 ec in 100 liter of water per acre.
"INFORMATION REGARDING FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN BARLEY(JAUN) CROP?","FOR THE CONTROL OF YELLOW,BROWN LEAF RUST IN BARLEY(JAUN) CROP,SPRAY PROPICONAZOLE 25% EC(TILT)-200ML OR TRIADIMEFON 25% WP(BAYLETON)-200GM OR TEBUCONAZOLE 25%EC(FOLICUR)-200ML IN 200LITRE WATER PER ACRE."
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF SQUASH MELON(TINDA)  SOWING?,"THE FERT. DOSE AT THE TIME OF SQUASH MELON(TINDA) SOWING IS-F.Y.M.-250Q.,DAP-40KG,MOP-35KG/ACRE."
INFORMATION REGARDING FOR THE CONTROL SUNDI OF BARSEEM?,"FOR THE CONTROL SUNDI OF BARSEEM,PLS SPRAY 50ML CORAGEN IN 120 LTR OF WATER /ACRE ."
SUITABLE VARIETIES OF PADDY.,"Supitable Variatis of Paddy (Jhona) -PR-124, PR-121, PR-122, PR-123, pr -118, pr -114, pr -111, pr -116, pr -115, pr -113, pusa-44, HKR-47, Pusa Punjab Basmati-1509, Punjab Basmati-3."
INFORMATION REGARDING WEATHER ?,TODAY WEATHER IS CLOUDY AND SOME CHANCES  OF RAINFALL IN NEXT TWO DAYS.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR -124(NEW VARIETY-2015) ,PR-123(NEW VARIETY-2014), PR-123,PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
Information regarding weather condition?,Mostly sunny and no chance of rainfall.
INFORMATION REGARDING FOR THE WEATHER ?,No chance of rainfall is expected in to days.
INFORMATION REGARDING FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI)?,"FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI),PLEASE SPRAY ACETAMIPRIDE-100GM IN 150LITRE WATER/ACRE."
Information regarding how to control Fungal Disease in Tomato?,Spray 500 gm. M-45 in 200 lt. of water per acre.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDLY  CHANCE OF  LIGHT RAIN FALL NEXT DAY  .
INFORMATION REGARDING FOR WEATHER ?,weather  is clear and no chances of rainfall today.
WEATHER INFORMATION,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING THE SCHEME OF USSD ?,FOR USSD SERVICE DIAL *491*103# .
INFORMATION REGARDING  CONTROL OF FLOWER DROPING IN GUAVA ?,SPRAY 1 ML PLANOFIX MIX IN 4.5 LITER WATER  /ACER .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS DRY AND THERE IS NO CHANCES OF RAINFALL.
WEATHER INFORMATION,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TONIGHT.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLEAR   NO CHANCES OF RAINFALL TODAY.
information regarding weather of amritsar?,some clouds and some chances of light rainfall.
INFORMATION REGARDING WEATHER?,CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
information regarding weather of amritsar?,some clouds and chances of rainfall.
INFORMATION REGARDING WEATHER?,WEATHER  IS CLOUDY  BUT NO CHANCE OF    RAIN FALL TODAY .
INFORMATION REGARDING USSD SCHEME?,PLEASE DIAL *491*103# TO ACTIVATE USSD ON YOUR PHONE.
CONTROL OF FUNGUS IN BRINJAL ?,CONTROL OF FUNGUS IN BRINJAL SPRAY 500G SAAF IN 200 LTR WATER .
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND  NO CHANCES OF RAINFALL TODAY
asking about weather forecasting ?,no chance of rainfall today.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR -124(NEW VARIETY-2015) ,PR-123(NEW VARIETY-2014), PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509, PUSA PUNJAB BASMATI-1121,PUNJAB BASMATI-3."
INFORMATION REGARDING VARIETIES OF SUMMER MASH?,MASH-1008 AND MASH-218 ARE THE VARIETIES OF SUMMER MASH.
CONTROL OF CATERPILLAR IN CELARY?,SPRAY 400ML MALATHION IN 100LT WATER/ACRE.
CONTROL OF CATERPILLER IN BARSEEM ?,CONTROL OF CATERPILLER IN BARSEEM  SPRAY 60 ML TRACER IN 100 LTR WATER .
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY.
CONTROL OF FRUIT DROPING IN CITRUS ?,CONTROL OF FRUIT DROPING IN CITRUS SPRAY 5ML PLANOFIX IN 25 LTR WATER
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL ON TOMORROW AND SATURDAY&SUNDAY.
INFORMATION REGARDING FOR THE WEATHER ?,rainfall is expected in next two days.
INFORMATION REGARDING WEATHER?,CHANCE OF A LITTLE RAINFALL TONIGHT.
Information regarding weather condition ?,"Mostly cloudy, chances of light rainfall for today."
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND NO CHANCE OF RAINFALL .
INFORMATION REGARDING WEATHER?,WETHER REMAIN PARTIALLY CLOUDY AND SUNNY TODAY.
INFORMATION REGARDING WEATHER?,WEATHER REMAIN PARTIALLY SUNNY AND CLOUDY TODAY.
INFORMATION REGARDING FOR WEATHER?,WEATHER IS CLOUDY & SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO WEATHER ?,WEATHER IS CLOUDY AND SAME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER FORECASTING?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER?,WEATHER REMAIN A LITTLE CLOUDY TODAY.
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR AND GRAM CATERPILLAR IN BARSEEM CROP ?,FOR THE CONTROL OF HAIRY CATERPILLAR IN BARSEEM CROP PLS SPRAY 50ML CHLORANTRANILIPROLE AND 200ML INDOXACARD PER ACER.
INFORMATION REGARDING WEATHER ?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY.
Information regarding weather of Amritsar?,Mostly sunny and no chance of rainfall.
INFORMATION REGARDING FOR WEATHER ?,WEATHER IS CLOUDY AND NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING FOR THE CONTROL OF DAMPING OFF DISEASE IN ONION(PYAJ)?,"FOR THE CONTROL OF DAMPING OFF DISEASE IN ONION(PYAJ),PLS SPRAY 250GM BAVISTIN IN 100LITRE WATER/ACRE."
Information regarding how to control Caterpillars in Wheat?,Spray 400 ml. Ekalux 25EC in 100 lt. of water per acre.
INFORMATION REGARDING  WEATHER ?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING WEATHER CONDTION?,WEATHER IS CLEAR NO CHANCE OF RAINFALL TODAY.
how to control yellow rust in wheat crop?,"spray 200 ml tilt , 200 litre water / acre ."
INFORMATION REGARDING THE SOWING TIME OF TURMERIC ?,THE SOWING TIME OF TURMERIC IS END APRIL .
information regarding to control fruit borer in tomato?,to control fruit borer in tomato spray decis 2.8 Ec 160ml/acre/100 ltr water.
Information regarding how to control Red Pumpkin Beetle in Bottle Gourd?,Spray 160 ml. Decis 2.8EC in 100 lt. of water per acre.
information regarding control of flower falling in pomegranate?,to control of flower falling in pomegranate spray planofix 1ml/4 ltr water.
INFORMATION REGARDING WEATHER?,WEATHER  IS LIGHT CLOUDY NO CHANCE OF   RAIN FALL TODAY .
Information regarding wheather?,WEATHER IS CLEAR & NO CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY   NO CHANCE OF RAIN FALL TODAY .
FOR THE CONTROL OF CATERPILLER IN WHEAT CROP ?,"FOR THE CONTROL OF CATERPILLER IN WHEAT CROP,PLS 600ML EKALUX PER ACER."
information regarding to weather ?,no chances of rain in today and next day
INFORMATION REGARDING WEATHER ?,"WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL TODAY .
???? ???????? ???  ????? ???  ???  ?? ???? ??? ??  ."
INFORMATION REGARDING WEATHER FORECAST?,"""   WEATHER IS CLEAR NO CHANCE OF RAINFALL .
"""
INFORMATION REGARDING FOR THE WEATHER ?,"WEATHER IS CLEAR AND  NO CHANCES OF RAINFALL TODAY.
??? ?????? ???? ? ??????? ????? ?? ???? ?? ??? ??????? ??? ?? ??"
INFORMATION REGARDING WEATHER ?,WEATHER  IS CLOUDLY  NO CHANCE OF RAIN FALL TODAY .
Information regarding how to control Blight Disease in Tomato?,Spray 500 gm. Antracol in 200 lt. of water per acre.
INFORMATION REGARDING FOR WEATHER ?,WEATHER IS CLOUDY  BUT NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE WEATHER?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL IN NEXT 3 days
INFORMATION REGARDING FOR THE WEATHER ?,WEATHER IS CLEAR AND  NO CHANCES OF RAINFALL TODAY.
Information regarding weather condition?,Sunny to partly cloudy and no chance of rainfall.
INFORMATION REGARDING ANIMAL HUSBANDRY ?,CONTACT ON 0161 2414011 .
INFORMATION REGARDING WEATHER?,weather is clear and no chance of rainfall today
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?,"INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?
FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
contect no of pau ludhiana?,Contact at of Pau Ludhiana 0161-2401960
INFORMATION REGARDING FOR THE SUITABLE VEARITY  OF PADDY(JHONA) ?,"Suitable Variatis of Paddy (Jhona) -PR-124, PR-123, PR-121, Pr-122, pr -118, pr -114, pr -111, pr -116, pr -115, pr -113, pusa-44, HKR-47, Pusa Punjab Basmati-1509, Punjab Basmati-3."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER REMAIN CLEAR TODAY.
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING DOSE OF UREA IN AN ACRE OF CHILLIES?,DOSE OF UREA IN AN ACRE OF CHILLIES IS 55 KG.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS DRY AND THERE IS NO CHANCES OF RAINFALL
CONTROL OF ARMY WORM IN BARSEEM?,SPRAY 50ML CORAGEN IN 100LT WATER/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP,PLS SPRAY KOCIDE(COPPER HYDRO XICHLORIDE)-500GM+2 PCS STREPTOCYCLENE IN 200LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER ?,WEATHER IS CLEAR AND CHANCES  RAINFALL .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLOUDY NO CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING VARIETIES OF PADDY?,"On-124, at -123, on -122,-121, -118, -18, at -114, -111 and -111 and at -115, on -13, hey the Varietie of Paddy."
CONTROL OF FRUIT DROPING ?,SPRAY 1ML PLANOFIX IN 4 LTR WATER .
INFORMATION REGARDING FOR THE SUITABLE VEARITY OF FODDER MAKKA ?,FOR THE SUITABLE VEARITY OF FODDER MAKKA IS- J 1006.
INFORMATION REGARDING WEATHER CONDITION ?,WEATHER IS CLEAR AND CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF LEAF CURL VIRUL DISEASE IN CHILLI(MIRCH) CROP?,CONTROL WHITEFLY & APHIDS (THE VIRUS VECTOR) BY SPRAYING OF 250ML ACEPHATE IN 100LITRE WATER/ACRE IN CHILLI(MIRCH).
"""INFORMATION REGARDING WEATHER ?
""",WEATHER IS CLOUDY 2MM CHANCE OF RAINFALL .
information regading control of blight?,spray of valedamycin 300 ml per acre mix with 150 ltr water
Information regarding how to control Gram Caterpillars in Barseem?,Spray 200 ml. Indoxacarb or 50 ml. Coragen in 100 lt. of water per acre.
information regarding control of caterpiller ?,spray of ekalux 500 ml per acre mix with 150-200 ltr water
Information regarding weather condition?,Mostly clear and no chance of rainfall.
"INFORMATION REGARDING FOR THE CONTROL OF JASSID,THRIPS,PYRILLA,GREY WEEVIL & LEAF-FEEDING INSECTS ATTACK ON SUMMER MAIZE CROP?","FOR THE CONTROL OF JASSID,THRIPS,PYRILLA,GREY WEEVIL & LEAF-FEEDING INSECTS ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 100 ML IMIDACHLORIDE & 80 GM THIMETHOXAM IN 120 LITRE WATER."
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF SEEDLING TRANSPLANTING OF BRINJAL(BAINGAN)?,"THE FERT. DOSE AT THE TIME OF SEEDLING TRANSPLANTING OF BRINJAL(BAINGAN) IS DAP-55KG,MOP-30KG."
INFORMATION REGARDING FOR GROWTH OF BHINDI ?,"FOR GROWTH OF BHINDI SPRAY N,P,K `19;19;19 1KG@130 LTR WATER ."
INFORMATION REGARDING FOR THE NET HOUSE ?,"Der Harfneh Singh, a member of Amr, 991449497"
information regarding dose  of fertilizer in chilies?,"broadcasting 55 kg urea, 75 kg SSP, 20 kg MOP"
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,SOME CHANCE OF RAINFALL TODAY
INFORMATION REGARDING  WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLOUDY AND 4MM  CHANCES OF RAINFALL TODAY
INFORMATION REGARDING WEATHER?,WEATHER REMAIN CLOUDY  AND CHANCE OF A LITTLE RAINFALL TODAY.
INFORMATION REGARDING FOR THE WEATHER ?,WEATHER IS CLOUDY AND LIGHT CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF MAIZE SHOOT FLY IN MAKKA CROP ?,FOR THE CONTROL OF MAIZE SHOOT FLY IN MAKKA CROP PLS APPLY 5KG FURADAN PER ACER.
INFORMATIN REGARDING CONTROL OF LEAF CURL ?,SPRAY ROGOR OF 1ML MIX WITH 1LTR WATER
INFORMATION REGARDING WEATHER ?,THE WEATHER IS EXPECTED TO REMAIN PARTLY CLOUDY AND CHANCE OF LIGHT CHANCE  OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY?,"Supitable varieties of Paddy (Jhona) -PR-124 (New Variety-2015), pr -23, pr -21, pr -22, pr -118, pr -114, pr -111, pr -116, pr -15,PR-113, Pusa-44, HKR-47, Pusa Punjab Basmati-1509, Pusa Punjab Basmati-1121, Punjab Basmati-3."
INFORMATION REGARDING FOR THE CONTROL OF WEED OUTSIDE THE HOUSE?,USE SPRAY ROUND UP 2O0ML IN 15 LITRES OF WATER.
BORER IN BARSEEM?,BORER IN BARSEEM: SPRAY CORAGEN 50 ML IN 100 LITRES OF WATER
Information regarding how to control Late Blight in Tomato?,Spray 500 gm. Antracol or 600 ml. Curzate in 200 lt. of water per acre.
information regarding the control of insects in barseem ?,spray coragene @ 40ml mix in 100-120 liters of water / acre .
INFORMATION REGARDING WEATHER ?,WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL TODAY.
INFORMATION REGARDING WEATHER OF AMRITSAR?,WEATHER IS CLEAR TODAY.
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUMMER MAIZE CROP?,"FOR THE CONTROL OF WEEDS IN SUMMER MAIZE CROP,PLS APPLY 800GM ATRAZINE IN 150LITRE WATER WITHIN 2 DAYS OF SOWING."
INFORMATION REGARDING WEATHER ?,WEATHER CLOUDY AND NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP,PLS SPRAY 500GM COPPER HYDROXICHLORIDE IN 120LITRE WATER/ACRE."
INFORMATION REGARDING SOWING TIME OF ONION,"SOWING TIME OF ONION IS FROM 15 OCTOBER TO 15 NOVEMBER, TRANSPLANTING TIME- 15 DECEMBER TO 15 JANUARY"
CONTROL OF CATERPILLER IN BARSEEM?,CONTROL OF CATERPILLER IN BARSEEM SPRAY COROZEN 60ML/100LITTER WATER/ACRE.
INFORMATION REGARDINF FOR THE CONTROL OF FRUIT DROPPING IN CITRUS?,USE SPRAY PLANOFIX 1ML IN 4 LITRES OF WATER/PLANT.
INFORMATION REGARDING TO CATERPILLAR IN MAIZE?,TO CATERPILLAR IN MAIZE USE CHALORO 1 LITTER MIX IN 15 KG SOIL BROADCAST IN /ACRE.
INFORMATION REGARDING WEATHER ?,"NO CHANCE OF RAINFALL TODAY.
?? ?????? ???? ???? ???  ??? ?? ??????? ?? ??"
INFORMATION REGARDING THE VARIETY OF RADISH FOR SOWING IN APRIL MONTH ?,THE VARIETY OF RADISH FOR SOWING IN APRIL MONTH IS PUSA CHETAKI .
INFORMATION REGARDING WEATHER FORECASTING?,WEATHER IS CLEAR AND NO CHANCE  OF RAINFALL IN NEXT 7 DAYS.
INFORMATION REGARDING catterpillar in barssem?,SPRAY CORAGEN 60ML IN 100 LTR WATER.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLEAR NO CHANCES OF RAINFALL TODAY.
HOW TO PEST CONTROL IN BARSEAM CROP ?,SPRAY TO INDOXACARB @ 200 ML IN 100 LITER OF WATER / ACRE .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLEAR AND NO CHANCE OF RAINFALL Next TWO DAYS .
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,WEATHER IS CLEAR NO CHANCE OF RAINFALL.
information regarding the control of caterpilar in barseem ?,spray coragene @ 40ml mix in 100 liters of water / acre .
INFORMATION REGARDING WEATHER ?,some clouds and no chances of rainfall .
INFORMATION REGARDING WEATHER.,NO CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING DOSE OF UREA IN AN ACRE OF SPONGE GOURD?,90 KG UREA /ACRE IS SUFFICIENT.
INFORMATION REGARDING FOR THE CONTROL OF catterpillar IN BARSEEM CROP?,spray 40 ml coragen in 100 LTR OF water/acre.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF FORAGE MAIZE(CHARE WALI MAKKI)?,"THE SUITABLE VARIETIES OF FORAGE MAIZE(CHARE WALI MAKKI) IS-AFRICAN TALL COMPOSITE,J-1006 ,PARTAP, MAKKA CHARI-6."
INFORMATION REGARDING CONTROL SUNDI IN BARSEEM ?,"SPRAY 50ML,CORAGEN IN 120LTR OF WATER /ACRE ."
INFORMATION REGARDING CONTROL DROPPING OF FRUIT AND LEAF ?,"SPRAY 1ML,PLANOFIX IN 4LTR OF WATER /PLANT ."
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATTERPILLER & GRAM CATTERPILLER IN BARSEEM CROP?,"FOR THE CONTROL OF BIHAR HAIRY CATTERPILLER & GRAM CATTERPILLER IN BARSEEM CROP,PLS SPRAY 200 ML AVANT(INDOXACARB 15%) IN 120 LITRE WATER PER ACRE?"
CONTROL OF JASSID IN BRINJAL?,SPRAY 200ML CYPERMETHRIN 10EC IN 100LT WATER/ACRE.
INFORMATION REGARDING WEATHER CONDITION?,SOME CLOUDS AND same CHANCES OF RAINFALL .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF FORAGE MAIZE(CHARE WALI MAKKI)?,"THE SUITABLE VARIETIES OF FORAGE MAIZE(CHARE WALI MAKKI) IS-AFRICAN TALL COMPOSITE,J-1006 & PARTAP MAKKA CHARI-6."
CONTROL OF CATERPILLAR IN BARSEEM?,SPRAY 50 ML CORAGEN IN 100LT WATER/ACRE.
INFORMATION REGARDING FOR WEATHER ?,WEATHER IS CLEAR AND NO CHANCES OF RAINFALL TODAY .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER IS CLEAR AND NO CHANCE OF RAINFALL NEXT TWO DAYS .
INFORMATION REGARDING CONTROL OF BORER IN BERSEEM ?,SPRAY  30- 40  ML CORAZAN MIX IN 150 LITER WATER /ACRE.
INFORMATION REGARDING CONTROL OF BRINJAL SHOOT BORAR?,SPRAY OF CYPERMETHRIN 200ML PER ACRE MIX WITH 200 LTR WATER
information regarding for the control of weeds in okra?,USE SPRAY STOMP 30EC@1LITRE/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?
INFORMATION REGARDING WEATHER FORECASTING?,WEATHER IS CLEAR AND NO CHANCE  OF RAINFALL TODAY
information regarding root rot in okra?,spray blitox  2 ml in 1 liter of water
INFORMATION REGARDING FOR THE VARIETIES OF SORGHUM?,SL44 FOR THE VARIETIES OF SORGHUM.
INFORMATION REGARDING CONTROL OF BABUKUTA IN BAREEM?,SPRAY CORAGEN @ 50 ML IN 100 LITERS OF WATER/ACRE.
TO CONTROL ANTHRACNOSE IN GRAPES?,TO CONTROL ANTHRACNOSE IN GRAPES SPRAY BAVISTIN 50WP 1 GM IN ONE LITER WATER.
information regarding to control of caterpillar of barseem?,to control of caterpillar of barseem spray corozen 50ml/acre/120 litter water.
TO CONTROL CATERPILLAR IN BARSEEM,TO CONTROL CATERPILLAR IN BARSEEM SPRAY CORAGAN 60 GM/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF CATERPILLAR IN BRSEEM CROP?,FOR THE CONTROL OF CATERPILLAR IN BARSEEM CROP PLS SPRAY 50ML CORAGAN PER ACER.
INFORMATION REGARDING FOR THE CONTROL OF larvae ATTACK ON barseem CROP?,spray 60 ml corogen in 300 liter of water/acre
INFORMATION REGARDING FOR THE CONTROL OF CATERPILLAR IN BARSEEM CROP?,FOR THE CONTROL OF CATERPILLAR IN MBARSEEM CROP PLS SPRAY 50GM CORAGAN PER ACER.
information regarding bhundiin tinda?,spray roger 3ml/1liter water
information regarding weather of amritsar?,weather is clear today
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"SUITABLE VARIETIES OF SUGARCANE -EARLY-COJ-85,COJ-83,COJ-64, MEDIUM-COPB-91(NEW VARIETY-2014),COH-119,COJ-88,COJ-238,COJ-239,COH-8436,LATE-COJ-89."
